seed,step,mean_cooperation,polarization,balanced_fraction,n_camps,camp_cleanliness,camp_exception_rate,cross_camp_nonhostile_rate,countries_with_cross_exceptions,homophily,structural_balance,power_parity,gravity,global_cooperation,climate_mitigation_score,climate_adaptation_score,economic_growth_score,peace_and_stability_score
42,10,0.17432342128867892,0.0,0.8122529644268774,2.0,0.532608695652174,0.4673913043478261,0.8402777777777778,23.0,0.8177658796226249,0.8122529644268774,0.25337181692303357,0.17807392851914686,0.5871617106443394,0.690979948794794,0.6070483148304046,0.5753989801953903,0.7946229929424479
42,11,0.17613732052864112,0.0,0.8122529644268774,2.0,0.5362318840579711,0.463768115942029,0.8402777777777778,23.0,0.8170679304756299,0.8122529644268774,0.25784801373215543,0.1817318840150138,0.5880686602643206,0.6917364036178022,0.6080141702921528,0.5763773937656425,0.7951520775987192
42,12,0.17801749069620804,0.0,0.799407114624506,2.0,0.5362318840579711,0.463768115942029,0.8402777777777778,23.0,0.8179903156322078,0.799407114624506,0.26076493643440996,0.1849605722733693,0.589008745348104,0.6951801674185427,0.6110332485509793,0.5795812281220661,0.7916503095927289
42,13,0.17971243010172236,0.0,0.799407114624506,2.0,0.5362318840579711,0.463768115942029,0.8402777777777778,23.0,0.8187587538307949,0.799407114624506,0.26242843991518794,0.1879515934029068,0.5898562150508612,0.6957990399450111,0.6118170419104776,0.5804377823358495,0.792076966100939
42,14,0.18121928468923473,0.0,0.8023715415019763,2.0,0.5362318840579711,0.463768115942029,0.8402777777777778,23.0,0.818354886688862,0.8023715415019763,0.26407345892071893,0.1906118487860666,0.5906096423446173,0.695848801559527,0.6121605955597034,0.5807785087901047,0.7935187229891764
42,15,0.1827421000001634,0.0,0.7974308300395256,2.0,0.5362318840579711,0.463768115942029,0.8402777777777778,23.0,0.8217765661509108,0.7974308300395256,0.2647994200360981,0.19349992687047396,0.5913710500000817,0.6971776312004675,0.6134007558637741,0.5822371928332124,0.7920542953608043
42,16,0.18360552405524197,0.0,0.7875494071146245,2.0,0.5398550724637681,0.4601449275362319,0.8333333333333334,22.0,0.8214274817599425,0.7875494071146245,0.2651609394319457,0.1959210016709849,0.5918027620276209,0.7000949914973416,0.6160211191543763,0.5849640223222349,0.7896660895170642
42,17,0.18452251875966075,0.0,0.782608695652174,2.0,0.5398550724637681,0.4601449275362319,0.8333333333333334,22.0,0.8230047365697192,0.782608695652174,0.26549820380266603,0.19803348388697145,0.5922612593798304,0.7015137680830715,0.6173283763363483,0.5864064910038203,0.7883613672284944
42,18,0.18512700926184014,0.0,0.7816205533596838,2.0,0.5398550724637681,0.4601449275362319,0.8333333333333334,22.0,0.8239972972724672,0.7816205533596838,0.2650737856162385,0.19983952618951112,0.5925635046309201,0.7021026703001743,0.6179832222535144,0.5871385591062948,0.788328617745959
42,19,0.18552801968809984,0.0,0.7707509881422925,2.0,0.5398550724637681,0.4601449275362319,0.8333333333333334,22.0,0.8229293547991631,0.7707509881422925,0.2653912813252394,0.2013772545142138,0.5927640098440499,0.7051043553797903,0.620595017361417,0.5898227223064441,0.7855653693679786
42,20,0.18611731251070404,0.0,0.7707509881422925,2.0,0.5434782608695652,0.45652173913043476,0.8263888888888888,22.0,0.8237153034849024,0.7707509881422925,0.2649101616862184,0.20259011680705377,0.593058656255352,0.705375273381984,0.6209369284312963,0.5902175018023679,0.7857624610596083
