scenario,step,mean_cooperation,balanced_fraction,n_blocs,modularity,polarization,conflicts,total_power
cooperative,89,0.9999978568208632,1.0,1,-1.1102230246251565e-16,1.0,0,3094.6782918018653
cooperative,90,0.9999981782977335,1.0,1,0.0,1.0,0,3284.213778976038
cooperative,91,0.9999984515530735,1.0,1,2.220446049250313e-16,1.0,0,3485.370355478125
cooperative,92,0.9999986838201124,1.0,1,-4.440892098500626e-16,1.0,0,3698.847846631683
cooperative,93,0.9999988812470957,1.0,1,4.440892098500626e-16,1.0,0,3925.3938652345355
cooperative,94,0.9999990490600313,1.0,1,2.220446049250313e-16,1.0,0,4165.859417874656
cooperative,95,0.9999991917010264,1.0,1,2.220446049250313e-16,1.0,0,4421.039211560062
cooperative,96,0.9999993129458729,1.0,1,2.220446049250313e-16,1.0,0,4691.842850022656
cooperative,97,0.9999994160039918,1.0,1,2.220446049250313e-16,1.0,0,4979.258249167076
cooperative,98,0.9999995036033928,1.0,1,2.220446049250313e-16,1.0,0,5284.26390520824
cooperative,99,0.9999995780628838,1.0,1,2.220446049250313e-16,1.0,0,5607.976878580376
cooperative,100,0.9999996413534515,1.0,1,-8.881784197001252e-16,1.0,0,5951.541043541909
cooperative,101,0.9999996951504339,1.0,1,-4.440892098500626e-16,1.0,0,6316.140059453628
cooperative,102,0.9999997408778686,1.0,1,-1.1102230246251565e-16,1.0,0,6703.045181182357
cooperative,103,0.9999997797461883,1.0,1,2.220446049250313e-16,1.0,0,7113.6723801984845
cooperative,104,0.9999998127842601,1.0,1,4.440892098500626e-16,1.0,0,7549.463689570621
cooperative,105,0.9999998408666211,1.0,1,2.220446049250313e-16,1.0,0,8011.977915539379
cooperative,106,0.9999998647366277,1.0,1,-3.3306690738754696e-16,1.0,0,8502.834293081254
cooperative,107,0.9999998850261337,1.0,1,0.0,1.0,0,9023.78140490411
cooperative,108,0.9999999022722137,1.0,1,0.0,1.0,0,9576.69179254235
cooperative,109,0.9999999169313816,1.0,1,-4.440892098500626e-16,1.0,0,10163.475431549452
cooperative,110,0.9999999293916745,1.0,1,-3.3306690738754696e-16,1.0,0,10786.192707394644
cooperative,111,0.9999999399829232,1.0,1,-1.1102230246251565e-16,1.0,0,11447.092008343017
cooperative,112,0.9999999489854846,1.0,1,-1.1102230246251565e-16,1.0,0,12148.457531748583
cooperative,113,0.9999999566376623,1.0,1,2.220446049250313e-16,1.0,0,12892.918927697874
cooperative,114,0.9999999631420128,1.0,1,0.0,1.0,0,13682.944141847112
cooperative,115,0.9999999686707108,1.0,1,-4.440892098500626e-16,1.0,0,14521.45921901834
cooperative,116,0.9999999733701043,1.0,1,2.220446049250313e-16,1.0,0,15411.295795765827
cooperative,117,0.9999999773645885,1.0,1,-3.3306690738754696e-16,1.0,0,16355.571964902072
cooperative,118,0.9999999807599004,1.0,1,0.0,1.0,0,17357.84616815586
cooperative,119,0.9999999836459154,1.0,1,-3.3306690738754696e-16,1.0,0,18421.55281210845
neutral,0,0.05056935742832796,0.6868131868131868,3,0.40175748740074635,0.0,0,24.456986922148527
neutral,1,0.06709201346630524,0.6923076923076923,2,0.32073136268100444,0.0,0,24.936968451299208
neutral,2,0.08380970087902512,0.6923076923076923,2,0.30734404934225235,0.0,0,25.45101133641541
neutral,3,0.09978098815100178,0.6923076923076923,2,0.30380988630890704,0.0,0,25.998259441722194
neutral,4,0.11577776824396743,0.6923076923076923,2,0.2969482754935906,0.0,0,26.578549652192393
neutral,5,0.13128258623710054,0.6923076923076923,2,0.28731563465836996,0.0,0,27.191914553452175
neutral,6,0.14651977537311633,0.6978021978021978,2,0.27639574347269147,0.0,0,27.838507268085856
neutral,7,0.16129820361662975,0.7032967032967034,2,0.2717458336056385,0.0,0,28.518820592546984
neutral,8,0.17574043916898732,0.7032967032967034,2,0.2663059713879742,0.0,0,29.233177132781144
neutral,9,0.19017543815998142,0.7032967032967034,2,0.2612583307067917,0.01098901098901099,0,29.982509929031508
neutral,10,0.20460985590552327,0.7032967032967034,2,0.2523830835522667,0.03296703296703297,0,30.768334536632633
neutral,11,0.21867358942408166,0.7197802197802198,2,0.24954096809561999,0.06593406593406594,0,31.592020039100976
neutral,12,0.2333835240290216,0.7252747252747253,2,0.235899326565009,0.07692307692307693,0,32.456354301299974
neutral,13,0.2477152337529511,0.7252747252747253,2,0.23105964076081176,0.10989010989010989,0,33.36243231653263
neutral,14,0.2615374425828638,0.7417582417582418,2,0.2240017144514553,0.14285714285714285,0,34.31060779721828
neutral,15,0.27576737684115726,0.7417582417582418,2,0.2186678287340832,0.15384615384615385,0,35.30488720917314
neutral,16,0.2860094692871269,0.7747252747252747,2,0.2052692600277052,0.21978021978021978,2,35.88940200886507
neutral,17,0.30143617977512815,0.7857142857142857,2,0.19678326869326032,0.21978021978021978,0,36.972728409383535
neutral,18,0.31735966885756056,0.8351648351648352,2,0.1828263970816715,0.23076923076923078,0,38.112400786694316
neutral,19,0.3330927540880264,0.8681318681318682,2,0.17191795237358468,0.26373626373626374,0,39.31107577372598
neutral,20,0.349330029796287,0.8901098901098901,2,0.1633572821594306,0.3076923076923077,0,40.573666699254346
neutral,21,0.3649631211498088,0.9120879120879121,2,0.1444704623765318,0.3076923076923077,0,41.90340787005906
neutral,22,0.3808096239568492,0.9340659340659341,2,0.1306125688274142,0.31868131868131866,0,43.30503203310142
neutral,23,0.39724790543427546,1.0,2,0.11606880695757071,0.34065934065934067,0,44.78512738973256
neutral,24,0.4138730126149914,1.0,2,0.10188778371419963,0.3626373626373626,0,46.3486762890117
neutral,25,0.4309833505619924,1.0,2,0.08745591309628117,0.37362637362637363,0,48.00171023240448
neutral,26,0.44742844891486605,1.0,2,0.07430657296344953,0.4065934065934066,0,49.749130668723645
neutral,27,0.4639046427971287,1.0,2,0.06353708241193592,0.42857142857142855,0,51.59619030519791
neutral,28,0.48080242015779945,1.0,2,0.05345006942840094,0.5164835164835165,0,53.55060890591713
neutral,29,0.4977045179848153,1.0,2,0.04400367872660174,0.5384615384615384,0,55.61972499397032
neutral,30,0.5142696736089707,1.0,2,0.03593955118163561,0.6043956043956044,0,57.80886793026946
neutral,31,0.5309583429154245,1.0,2,0.028225087359200735,0.6703296703296703,0,60.1263194042057
neutral,32,0.5475077958692397,1.0,2,0.02147763206642639,0.7362637362637363,0,62.58055244375283
neutral,33,0.563602838777485,1.0,2,0.015836838958381866,0.7582417582417582,0,65.17889333129227
neutral,34,0.5791727942586827,1.0,2,0.010574422820811252,0.8021978021978022,0,67.92973367573845
neutral,35,0.5941024543483291,1.0,2,0.006005097318884239,0.8351648351648352,0,70.84248502621546
neutral,36,0.6094423497533993,1.0,1,2.220446049250313e-16,0.9230769230769231,0,73.92763175326185
neutral,37,0.6243463821895283,1.0,1,2.220446049250313e-16,0.978021978021978,0,77.19657945386979
neutral,38,0.6382179717435051,1.0,1,-1.1102230246251565e-16,1.0,0,80.65675468103692
neutral,39,0.6517161263321298,1.0,1,-2.220446049250313e-16,1.0,0,84.32023367292263
neutral,40,0.6647592987846478,1.0,1,0.0,1.0,0,88.19860323572635
neutral,41,0.6765998874973793,1.0,1,-2.220446049250313e-16,1.0,0,92.30177480889456
neutral,42,0.6877647509402393,1.0,1,-3.3306690738754696e-16,1.0,0,96.64071868532153
neutral,43,0.6991804440009486,1.0,1,-1.1102230246251565e-16,1.0,0,101.23229026337053
neutral,44,0.7092626753049397,1.0,1,0.0,1.0,0,106.08623035499939
neutral,45,0.7188481710225662,1.0,1,0.0,1.0,0,111.21726478388081
neutral,46,0.7279257036885143,1.0,1,-4.440892098500626e-16,1.0,0,116.63975347507439
neutral,47,0.7369578712015398,1.0,1,2.220446049250313e-16,1.0,0,122.3705006891465
neutral,48,0.7453899193647817,1.0,1,0.0,1.0,0,128.42724300931812
neutral,49,0.7535831912465524,1.0,1,2.220446049250313e-16,1.0,0,134.83003571503693
neutral,50,0.7610294269946906,1.0,1,1.1102230246251565e-16,1.0,0,141.5958028709645
neutral,51,0.7678140563657679,1.0,1,-5.551115123125783e-16,1.0,0,148.74386756482494
